filename,accuracy
65_romjon1_segments,0.21875
57_romang1_segments,0.1
24_leonjo4_segments,0.14285714285714285
102_santivan_segments,0.29411764705882354
113_romcar1_segments,0.047619047619047616
64_romjoh1_segments,0.15942028985507245
35_leonyu1_segments,0.15789473684210525
25_leonma1_segments,0.5128205128205128
22_leonjo2_segments,0.5185185185185185
74_romyanis_segments,0.14285714285714285
33_leonwi1_segments,0.038461538461538464
61_romdar1_segments,0.13953488372093023
59_romaud1_segments,0.1724137931034483
6_franivan_segments,0.11627906976744186
12_franyu1_segments,0.20588235294117646
62_romdou1_segments,0.13636363636363635
