filename,accuracy
ks10yxx0,1.0
ks10axx0,0.4
ksc0pxx0,0.0
ks13axx0,0.75
ksc2txx0,0.5
ksc3lxx0,0.6666666666666666
ks13dxx0,1.0
ks118xx0,1.0
ksc0bxx0,0.5
ks10qxx0,0.0
ks10ixx0,0.0
ks13pxx0,0.0
ks130xx0,0.0
ksc08xx0,0.0
ksc0oxx0,0.5
ks135xx0,1.0
ksc3wxx0,0.6
ks13zxx0,1.0
ks10fxx0,0.25
ks106xx0,0.5
ks136xx0,1.0
ks10exx0,0.0
ks12yxx0,1.0
ks113xx0,0.25
ksc0mxx0,0.6666666666666666
ks119xx0,0.4
ksc3gxx0,0.3333333333333333
ks13jxx0,1.0
ks12uxx0,1.0
ks13mxx0,0.4
ksc02xx0,0.6666666666666666
ks10lxx0,0.5
ksc39xx0,0.75
ks115xx0,0.0
ksc0sxx0,0.75
ks13bxx0,1.0
ks111xx0,0.5
ksc0txx0,1.0
ksc3txx0,0.15789473684210525
ks137xx0,0.0
ks13xxx0,0.0
ks107xx0,0.4
ks133xx0,0.4
ks10kxx0,1.0
ks10wxx0,0.75
ks10rxx0,0.5
ks13vxx0,0.2
ksc3exx0,0.4
ksc16xx0,0.5
ks134xx0,1.0
ks10gxx0,0.5
ksc3nxx0,0.0
ks10zxx0,0.5
ks112xx0,0.6666666666666666
ks10dxx0,0.6666666666666666
ksc3qxx0,0.0
ks10xxx0,0.75
ksc01xx0,1.0
ksc3fxx0,0.0
ks13kxx0,0.1111111111111111
ks13rxx0,0.3
ksc14xx0,1.0
ks12vxx0,1.0
ks10uxx0,0.16666666666666666
ks13ixx0,0.75
ksc03xx0,1.0
ksc32xx0,0.5
ks110xx0,0.0
ks104xx0,0.3333333333333333
ksc0hxx0,0.6666666666666666
ks117xx0,1.0
ks13sxx0,0.0
ks12sxx0,0.0
ks10vxx0,1.0
ks109xx0,1.0
ks10nxx0,0.0
ksc00xx0,0.4
ksc3cxx0,1.0
ks13uxx0,0.25
ksc2xxx0,0.6666666666666666
ksc3yxx0,1.0
ksc0jxx0,0.3333333333333333
ks10cxx0,0.4
ks105xx0,0.6666666666666666
ks131xx0,0.6666666666666666
ks12zxx0,0.0
ksc3oxx0,0.0
