filename,accuracy
ksb3mxx0,0.625
ks036xx0,0.2
ks018xx0,0.16666666666666666
ksb05xx0,1.0
ksb35xx0,0.75
ks02txx0,0.6666666666666666
ksb17xx0,1.0
ks037xx0,0.2727272727272727
ks02yxx0,0.2777777777777778
ks02sxx0,0.0
ksb3fxx0,0.1111111111111111
ksb2zxx0,0.0
ksb3exx0,0.7142857142857143
ksb02xx0,0.2
ks001xx0,0.2
ksb0sxx0,0.6666666666666666
ks03gxx0,0.0
ks03dxx0,0.1111111111111111
ks00dxx0,0.16666666666666666
ks00exx0,0.6666666666666666
ksb0lxx0,0.5714285714285714
ks03vxx0,0.5714285714285714
ksb34xx0,0.1
ksb07xx0,0.6
ksb0oxx0,0.2857142857142857
ksb3nxx0,0.0
ks03yxx0,0.0
ksb0gxx0,0.2
ksb0cxx0,0.42857142857142855
ksb30xx0,0.0
ks00wxx0,0.75
ksb0axx0,0.0
ksb3xxx0,0.0
ks03zxx0,0.6153846153846154
ks00bxx0,0.125
ksb3ixx0,0.25
ks003xx0,0.2857142857142857
ksb3hxx0,0.2857142857142857
ks039xx0,0.0
ksb04xx0,0.2
ksb0jxx0,0.2222222222222222
ks03cxx0,0.0
ks000xx0,0.8
ks033xx0,0.0
ksb0pxx0,0.0
ks03qxx0,0.2857142857142857
ks011xx0,0.0
ks00fxx0,0.4
ksb3wxx0,0.0
ksb0nxx0,0.0
ksb0vxx0,0.0
ksb2uxx0,0.0
ksb0hxx0,0.42857142857142855
ks016xx0,0.4
ks006xx0,1.0
ks02vxx0,0.0
ksb15xx0,1.0
ks03lxx0,0.4
ksb3sxx0,0.2222222222222222
ksb0ixx0,0.14285714285714285
ks00yxx0,0.3333333333333333
ks038xx0,0.25
ksb13xx0,0.0
ks00qxx0,0.3333333333333333
ksb0xxx0,0.6666666666666666
ksb2wxx0,1.0
ks03bxx0,0.0
ksb3jxx0,0.0
ksb3rxx0,0.5
ksb0mxx0,0.3333333333333333
ks03axx0,0.2857142857142857
ksb14xx0,0.16666666666666666
ks008xx0,0.6
ksb32xx0,0.6666666666666666
ksb3oxx0,0.3076923076923077
ksb0kxx0,0.5
ks031xx0,0.0
ks010xx0,0.25
ksb0uxx0,0.0
ksb3uxx0,0.4
ks012xx0,0.3333333333333333
ks00txx0,0.2222222222222222
ks03txx0,0.0
ksb2xxx0,0.5
ksb09xx0,0.25
